"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 16 10:24:37 GMT 2023","Thu Mar 16 10:24:42 GMT 2023","5688","","io.artbi.automation.test_coverage.MainPageTest","","io.artbi.automation.test_coverage.MainPageTest","search","search()","Search test for new user using Step Object"
"passed","Thu Mar 16 10:24:42 GMT 2023","Thu Mar 16 10:24:46 GMT 2023","3761","","io.artbi.automation.test_coverage.MainPageTest","","io.artbi.automation.test_coverage.MainPageTest","searchPage","searchPage()","Search test for new user using Page Object"
